"","treatment_class","variable","N","value","sd","se","ci"
"294","POX_Ia","Stat.afr",10,67.595208175,15.429747920226,4.87931471501603,11.0377767321202
"295","POX_Ia","Stat.HzEnd",10,24.0214148,26.600157515581,8.41170838684819,19.0286063786784
"296","POX_Ia","Stat.HzSTD",10,35.689382675,11.7185611742056,3.70573442105068,8.38295366400765
"297","POX_Ia","Stat.LSpkF",10,120.708890315,22.6022177266051,7.14744881871052,16.1686525409796
"298","POX_Ia","Stat.LSpkT",10,723.29065,365.624366351288,115.62057657259,261.551915460542
"299","POX_Ia","Stat.mSfr",10,34.777434825,23.4138300552879,7.4041031722816,16.7492450252737
"300","POX_Ia","Stat.slp",10,-289.61011238,459.055264115899,145.16602064964,328.388353407496
"301","POX_Ia","Stat.spkNum",10,36.8,23.2703912969058,7.3587438541582,16.6466351188812
"302","POX_Ia","Thr.F",10,20.619940475,12.1524495277487,3.84294196579236,8.69333869413499
"303","POX_Ia","Thr.F1",10,21.7091905,18.4544118545583,5.83579743392163,13.2014909657852
"304","POX_Ia","Thr.F3",10,37.7218822,14.7221718685645,4.6555595209121,10.5316073170647
"305","POX_Ia","Thr.L",10,0.648426875,0.490474307450908,0.155101594533856,0.350864183036186
"306","POX_Ia","Thr.L1",10,0.7189925,0.631247128190475,0.199617869152218,0.451566992525206
"307","POX_Ia","Thr.L3",10,1.482013,0.347464608445234,0.109877956898552,0.248561207231691
"308","POX_Ia","Thr.T",10,33.01219,24.4870092807708,7.74347224129173,17.5169511955672
"309","POX_Ia","Thr.T1",10,192.7459,183.735994754823,58.1024231581992,131.436812723253
"310","POX_Ia","Thr.T3",10,393.5416,116.038054512015,36.6944547512745,83.0086236505703
"311","POX_Ib","Dyn.DI",14,26.9904157857143,31.7554615613065,8.48700409437703,18.3350576327635
"312","POX_Ib","Dyn.F",14,265.065019392857,89.829666476924,24.0079882232016,51.8661052621325
"313","POX_Ib","Dyn.IB",14,0,0,0,0
"314","POX_Ib","Dyn.IFRdrop",14,60.0042382142857,63.1849285334485,16.8868824699972,36.481891593553
"315","POX_Ib","Dyn.pfr",14,40.7813476935714,43.9250381540365,11.7394602480984,25.3615619637827
"316","POX_Ib","Dyn.pfr1",14,53.7247796785714,35.0240864505821,9.36058084163068,20.222305456545
"317","POX_Ib","Dyn.pfr3",14,41.5944541785714,37.3090528463167,9.97126379828287,21.5416057751324
"318","POX_Ib","Dyn.RDR",14,2.5,2.13937445925744,0.571771874896866,1.23523803717415
"319","POX_Ib","Dyn.slp",14,336.438881471429,514.781835431941,137.581232651498,297.226182737811
"320","POX_Ib","Dyn.slp1",14,267.735390214286,230.167005661635,61.5147197803927,132.894472524652
"321","POX_Ib","Dyn.slp3",14,202.509932357143,183.990160297634,49.1734387408118,106.232755786143
"322","POX_Ib","Dyn.spkNum",14,2,1.72370352617666,0.460679145094799,0.995236785748878
"323","POX_Ib","Dyn.spkNum1",14,7.21428571428571,6.96340512888709,1.86104830268571,4.02055042128548
"324","POX_Ib","Dyn.spkNum3",14,4.78571428571429,5.17655322552597,1.38349204387984,2.98885284806364
"325","POX_Ib","Stat.afr",14,42.3020832914286,32.9678146847114,8.81101909577463,19.0350494860066
"326","POX_Ib","Stat.HzEnd",14,9.96100217264286,20.8038568392579,5.56006461542835,12.0117893230792
"327","POX_Ib","Stat.HzSTD",14,14.2773704042857,13.8326978619462,3.69694400958307,7.98676196300114
"328","POX_Ib","Stat.LSpkF",14,149.076173985714,44.7659021487468,11.9641906036041,25.847062379973
"329","POX_Ib","Stat.LSpkT",14,316.841535714286,424.389941781887,113.422982895769,245.035457170534
"330","POX_Ib","Stat.mSfr",14,13.0560920655,24.4533505347928,6.53543283284857,14.1189442485039
"331","POX_Ib","Stat.slp",14,-51.0325155571429,91.5421369176067,24.4656651999168,52.8548562574126
"332","POX_Ib","Stat.spkNum",14,14.125,25.0742646951012,6.70137912245361,14.4774494112229
"333","POX_Ib","Thr.F",14,96.3944293021429,73.0112384079357,19.513074250469,42.1554340019444
"334","POX_Ib","Thr.F1",14,121.697142035714,77.400354608483,20.6861148971252,44.6896342477374
"335","POX_Ib","Thr.F3",14,126.47579625,92.6591074914157,24.7641881426526,53.4997758661341
"336","POX_Ib","Thr.L",14,1.85935016664286,1.04209190098356,0.278510775643745,0.601685950187888
"337","POX_Ib","Thr.L1",14,2.19851025,0.751681827044138,0.200895418618817,0.434008165611063
"338","POX_Ib","Thr.L3",14,2.13456042857143,0.966866186106013,0.258405857661822,0.558251915538986
"339","POX_Ib","Thr.T",14,96.9631428571429,53.4527819163176,14.285856878629,30.8627174313035
"340","POX_Ib","Thr.T1",14,562.462482857143,133.714877314437,35.7368041732238,77.2046716179815
"341","POX_Ib","Thr.T3",14,605.407354285714,140.057483020312,37.4319368511368,80.8667831238906
"342","POX_II","Dyn.DI",14,38.3422077321429,21.4323448960774,5.72803511402105,12.3746675234493
"343","POX_II","Dyn.F",14,186.481034785714,59.9551470500943,16.0236870596502,34.6170712846368
"344","POX_II","Dyn.IB",14,0,0,0,0
"345","POX_II","Dyn.IFRdrop",14,51.4096112857143,74.347024443517,19.8700780852677,42.9266938968806
"346","POX_II","Dyn.pfr",14,72.0834504357143,36.7165726757772,9.812916812096,21.199517909329
"347","POX_II","Dyn.pfr1",14,64.589675,24.1356915007092,6.45053488489468,13.9355333827463
"348","POX_II","Dyn.pfr3",14,54.4362245,27.1265719987556,7.24988132121421,15.6624163694262
"349","POX_II","Dyn.RDR",14,5.78571428571429,6.3872297043948,1.70705894317648,3.68787663557297
"350","POX_II","Dyn.slp",14,777.857013078571,527.274740318191,140.920101926491,304.439371267533
"351","POX_II","Dyn.slp1",14,139.414197714286,104.496020283246,27.9277361558061,60.3342058369661
"352","POX_II","Dyn.slp3",14,135.7787005,103.031107776425,27.5362218199403,59.4883905372059
"353","POX_II","Dyn.spkNum",14,5.23214285714286,2.77257219805122,0.74100108894303,1.60083552695732
"354","POX_II","Dyn.spkNum1",14,17.4285714285714,11.4065722331422,3.04853466099335,6.58595872975046
"355","POX_II","Dyn.spkNum3",14,11.6428571428571,6.46418705528501,1.72762666034969,3.73231048708896
"356","POX_II","Stat.afr",14,38.537049,21.3405585037734,5.70350416882322,12.3216716383305
"357","POX_II","Stat.HzEnd",14,23.4390378571429,20.3792767469115,5.44659081265656,11.7666440762414
"358","POX_II","Stat.HzSTD",14,14.7782704942857,7.73666536612176,2.06771079401054,4.46701759001017
"359","POX_II","Stat.LSpkF",14,105.390942642857,17.9304122429059,4.79210424404077,10.352711807328
"360","POX_II","Stat.LSpkT",14,906.597821428571,255.568407207844,68.3035299039484,147.560805130259
"361","POX_II","Stat.mSfr",14,32.9130244285714,20.8992469809789,5.5855587031709,12.0668659511634
"362","POX_II","Stat.slp",14,-31.4129858214286,13.7124028691745,3.66479382041907,7.91730570203189
"363","POX_II","Stat.spkNum",14,33.3928571428571,21.0554931362054,5.62731724466077,12.1570797953377
"364","POX_II","Thr.F",14,31.6046448071429,30.0845688839899,8.04043924233502,17.370312923334
"365","POX_II","Thr.F1",14,41.6410167857143,40.6065425638514,10.8525549953847,23.4455196545677
"366","POX_II","Thr.F3",14,47.4450827142857,37.4080906523727,9.99773276532567,21.5987885019006
"367","POX_II","Thr.L",14,0.886592345214286,0.814996441481605,0.21781696110458,0.47056493561631
"368","POX_II","Thr.L1",14,1.07823964285714,0.831773703811005,0.222300873070626,0.480251838486095
"369","POX_II","Thr.L3",14,1.442653,0.579189805302598,0.154794986668188,0.334414237375528
"370","POX_II","Thr.T",14,45.3179285714286,39.988326160392,10.6873297116255,23.0885721302792
"371","POX_II","Thr.T1",14,267.0615,205.853232040078,55.0165904467177,118.856117586539
"372","POX_II","Thr.T3",14,367.204,142.58560988133,38.1076071757247,82.3264801152321
"373","WT_1.5","Dyn.DI",19,106.720711921053,34.6644360389663,7.95256703308859,16.7077233563101
